stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline,within-archetype,both,5,matched-C10,0.3434549946518008,0.7946531395032876,,0.1,3015,
baseline,within-archetype,cardseq,10,full-pool,0.1621743036837376,0.3939802336028751,0.2839364990608812,0.0220125786163522,2226,
baseline,within-archetype,cardseq,10,matched-C10,0.3436104369369196,0.794721518784593,,0.1,2226,
baseline,within-archetype,rhythm,10,full-pool,0.1275831087151842,0.3400718778077268,0.2435254307606981,0.0220125786163522,2226,
baseline,within-archetype,rhythm,10,matched-C10,0.2959445610214083,0.7544178618767562,,0.1,2226,
baseline,within-archetype,role,10,full-pool,0.2003593890386343,0.48607367475292,0.3418870696428329,0.0220125786163522,2226,
baseline,within-archetype,role,10,matched-C10,0.4256006896553045,0.8709258401928084,,0.1,2226,
baseline,within-archetype,both,10,full-pool,0.2183288409703504,0.4883198562443845,0.3529509206643321,0.0220125786163522,2226,
baseline,within-archetype,both,10,matched-C10,0.4306396738876604,0.8557690712290298,,0.1,2226,
baseline,within-archetype,cardseq,20,full-pool,0.2752420470262794,0.5933609958506224,0.4242926243775808,0.0338865836791149,1446,
baseline,within-archetype,cardseq,20,matched-C10,0.4471287910053007,0.8785090549842703,,0.1,1438,
baseline,within-archetype,rhythm,20,full-pool,0.2130013831258644,0.516597510373444,0.3616423180246464,0.0338865836791149,1446,
baseline,within-archetype,rhythm,20,matched-C10,0.3774355074933664,0.8357735103883471,,0.1,1438,
baseline,within-archetype,role,20,full-pool,0.3457814661134163,0.6715076071922544,0.4950332228427117,0.0338865836791149,1446,
baseline,within-archetype,role,20,matched-C10,0.5291021460321741,0.9187330022977817,,0.1,1438,
baseline,within-archetype,both,20,full-pool,0.3692946058091286,0.6964038727524204,0.5186308153694769,0.0338865836791149,1446,
baseline,within-archetype,both,20,matched-C10,0.5536595688265804,0.9295461903865944,,0.1,1438,
baseline,within-archetype,cardseq,30,full-pool,0.4065827686350435,0.7202323330106486,0.5529436380804766,0.0474346563407556,1033,
baseline,within-archetype,cardseq,30,matched-C10,0.5380243580090593,0.9067097115371272,,0.1,1005,
baseline,within-archetype,rhythm,30,full-pool,0.3155856727976767,0.6776379477250726,0.4791063629214188,0.0474346563407556,1033,
baseline,within-archetype,rhythm,30,matched-C10,0.4563146310284482,0.8762587025621458,,0.1,1005,
baseline,within-archetype,role,30,full-pool,0.4656340755082284,0.7996127783155856,0.6085301543461353,0.0474346563407556,1033,
baseline,within-archetype,role,30,matched-C10,0.6006132882744672,0.9432327029700812,,0.1,1005,
baseline,within-archetype,both,30,full-pool,0.526621490803485,0.7947725072604066,0.6493783311851052,0.0474346563407556,1033,
baseline,within-archetype,both,30,matched-C10,0.6412298564116664,0.9446718229115544,,0.1,1005,
baseline,within-archetype,cardseq,50,full-pool,0.5374592833876222,0.8827361563517915,0.6851314597208907,0.0781758957654726,614,
baseline,within-archetype,cardseq,50,matched-C10,0.5792777766597939,0.9380347170781504,,0.1,480,
baseline,within-archetype,rhythm,50,full-pool,0.4576547231270358,0.8257328990228013,0.6193729595439099,0.0781758957654726,614,
baseline,within-archetype,rhythm,50,matched-C10,0.5048731716564906,0.9066103095384844,,0.1,480,
baseline,within-archetype,role,50,full-pool,0.5960912052117264,0.8827361563517915,0.7234369896611551,0.0781758957654726,614,
baseline,within-archetype,role,50,matched-C10,0.6371493115891831,0.9570198133676928,,0.1,480,
baseline,within-archetype,both,50,full-pool,0.6807817589576547,0.9315960912052116,0.7847379563450597,0.0781758957654726,614,
baseline,within-archetype,both,50,matched-C10,0.7085996640804684,0.9596226956849636,,0.1,480,
baseline,pilot|distractors=all,cardseq,1,matched-C10,0.2748770399872745,,,0.1,4792,
baseline,pilot|distractors=class,cardseq,1,matched-C10,0.222221300427908,,,0.1,4792,
baseline,pilot|distractors=archetype,cardseq,1,matched-C10,0.172300288654348,,,0.1,4792,
baseline,pilot|distractors=all,cardseq,3,matched-C10,0.4976362717943144,,,0.1,3622,
baseline,pilot|distractors=class,cardseq,3,matched-C10,0.3645413340585589,,,0.1,3622,
baseline,pilot|distractors=archetype,cardseq,3,matched-C10,0.2490938752721885,,,0.1,3622,
baseline,pilot|distractors=all,cardseq,5,matched-C10,0.6078309419424217,,,0.1,3015,
baseline,pilot|distractors=class,cardseq,5,matched-C10,0.4322047988715563,,,0.1,3015,
baseline,pilot|distractors=archetype,cardseq,5,matched-C10,0.2730330428553838,,,0.1,3015,
baseline,pilot|distractors=all,cardseq,10,matched-C10,0.7644907713349354,,,0.1,2226,
baseline,pilot|distractors=class,cardseq,10,matched-C10,0.5519454465123225,,,0.1,2226,
baseline,pilot|distractors=archetype,cardseq,10,matched-C10,0.3436104369369193,,,0.1,2226,
baseline,pilot|distractors=all,cardseq,20,matched-C10,0.8907649755486001,,,0.1,1446,
baseline,pilot|distractors=class,cardseq,20,matched-C10,0.6914394320553983,,,0.1,1446,
